问题,答案,来源
骚扰他人包括但不限于以下情形：,"商家在沟通过程中或者在评价或者在评价补充回复中等出现包括但不限于挑衅、质问、诋毁、辱骂等词语（含商家发送后被系统拦截的违规信息），或使用任何形式的有人身攻击、侮辱性等不文明语言的，严重影响消费者购物体验的语言等；
商家在日常运营中骚扰、谩骂、威胁、恐吓、诅咒京东工作人员或其他与京东开放平台相关的关联人员等，散播恶意攻击京东的消息等情形的。
商家在短时间内通过咚咚卡片、电话、短信、邮件等方式反复联系消费者，或已经遭到明确拒绝后仍然进行联系的。",文件获取
骚扰他人违规如何区分违规程度的等级？,"违规程度一般包括但不限于：
通过电话、短信、咚咚、邮件等方式对他人实施侮辱、恐吓威胁、语言攻击的行为（如：带有辱骂含义的词汇、动物指代词汇、诅咒词汇等不文明用语）；
通过电话、短信、咚咚、邮件等方式频繁联系他人，影响他人正常生活的行为。
违规程度严重包括但不限于：
严重影响他人正常生活，给他人身心造成极大伤害或造成严重恶劣影响的行为，如商家未经他人允许私自上门、向消费者邮寄商品进行恐吓等行为；
商家多次产生“违规程度一般”情形；
违规程度极其严重包括但不限于：多次产生“违规程度严重”情形或产生严重损害消费者体验重大客诉或舆情的。",文件获取
什么情形会判定消费者投诉成立但不支持赔付？,"出现下述任一情形的：
消费者与卖家均存在骚扰、辱骂等相关行为，但消费者先行出现前述行为，且卖家未产生促使消费者情绪升级、矛盾激化等行为的。如，卖家未有激烈（基于频次、程度等判断）回骂、向消费者邮寄商品进行恐吓、威胁上门等。
经京东认定，消费者在交易前不以成交为目的，交易后不以解决售后争议为目的，滥用本规则以实现其牟利意图的。如，出现挑衅、故意激怒卖家等行为，诱使或致使卖家违规。",文件获取
不当获取/使用信息“违规程度一般”、“违规程度严重”、“违规程度极其严重”如何理解？,"（一）违规程度一般包含但不限于以下情形：
不当获取使用平台商业信息，或未妥善保存信息，存在泄露风险。
如出租/共享店铺相关账号、使用非法插件获取商业秘密、未经授权的数据复制与下载等不当行为导致平台商业信息存在泄露风险等；
因在账号管理、内部管理、合作伙伴管理、系统安全等方面存在过失而导致他人个别信息泄露或被不当使用的。过失，指商家因自身信息安全保护措施不健全、内部管理等非故意原因导致信息泄露的。
合作伙伴管理，指软件服务、物流服务、运营服务（包括外包客服运营等）、数据分析服务等服务合作方的选择与管理。
（二）违规程度严重包含但不限于以下情形：
未经允许对外披露、共享他人信息的，如商家未经允许向非客户本人披露客户订单信息、在评价页面未经允许披露他人信息等；
不当获取使用平台商业信息，或未妥善保存信息，由此引发泄露事件；
如通过出租/共享店铺相关账号等方式售卖所获取的平台商业信息。
商家多次发生“情节一般”情形。
（三）违规程度极其严重包含但不限于以下情形：
不当获取使用信息手段恶劣的；
不当获取使用信息量级巨大、造成严重后果、被追究或可能追究刑事责任等情形的。
/",文件获取
商家“更换商品”违规包含哪些情形？,"商家更换商品包括但不限于以下情形：
1）将商品A更换成不同的商品B
2）将虚拟链接（如赠品链接、补差价链接）更换成实体商品
3）将商品更换为不同颜色的同款商品，比如白色裤子变成黑色裤子
4）将商品更换为不同型号的商品
5）将商品更换为不同规格的同款商品，比如100ml更换为200ml
6）将商品更换为不同类目的商品，比如将手机壳更换为手机
7）将单一商品更换为同类商品组合装，比如将洗发水更换为洗发水+护发素的组合装",文件获取
商家“更换商品”违规包含哪些情形？,"商家更换商品包括但不限于以下情形：
1）将商品A更换成不同的商品B
2）将虚拟链接（如赠品链接、补差价链接）更换成实体商品
3）将商品更换为不同颜色的同款商品，比如白色裤子变成黑色裤子
4）将商品更换为不同型号的商品
5）将商品更换为不同类目的商品，比如将手机壳更换为手机
6）将单一商品更换为同类商品组合装，比如将洗发水更换为洗发水+护发素的组合装
7）除以上通用规则外，医药类商品如命中以下规则，也属于更换商品违规：
① 医药类商品，同品牌&同名称情况下，将商品更换为不同规格/成分/功效/批文的商品
② 医药类商品：同品牌&同规格情况下，将商品更换为不同名称的商品（有文书证明的不违规）",文件获取
发布混淆信息违规程度“极其严重”包含哪些行为？,"包括但不限于：
（一）大量或多次发布混淆信息的；
（二）发布混淆信息且造成恶劣影响的，如产生大量消费者资损或投诉举报等；
（三）发布的混淆商品或信息已造成舆情或监管事件的，或平台负面影响。",文件获取
确定违规程度参考因素有哪些？,"（1）违规程度轻微的
包括但不限于：发布的混淆商品或信息尚未给消费者造成实质影响。
（2）违规程度一般的
包括但不限于：发布较多的混淆商品或信息造成消费者较低数额的资损；有一定数量的投诉举报。
（3）违规程度严重的
包括但不限于：多次发布混淆商品信息；发布的混淆商品或信息已造成较大的影响，如产生相关消费者退款、资损、投诉举报等。
（4）违规程度极其严重的
包括但不限于：大量、恶意发布混淆商品信息；发布的混淆商品或信息已造成恶劣影响的，如产生大量消费者退款、资损、投诉举报等；发布的混淆商品或信息已造成舆情或监管事件的，或平台其他范围的负面影响。",文件获取
违约金档位解读,"平台根据违规行为对用户体验造成的伤害程度，从轻到重执行M1到M7档位违约金，具体金额如下：
本细则所述部分违规行为，根据其严重程度，适用的违约金档位范围为M1至M7档。",文件获取
其他商品信息类违规？,"案例一： 商品详情中出现非商品描述的引流信息。
案例二：卖点信息出现“充绒222”信息描述不全低质量情况。",文件获取
哪些情况会被认定为假冒商品进行处置？,"（一）商家出售假冒商品、商家出售盗版商品；
（二）商家涉嫌出售假冒商品、盗版商品；",文件获取
哪些情况不会被认定为假冒商品？,"假冒商品是指未经品牌方或权利人许可，在相同商品上使用相同商标的商品。以下情形不按照违规处理：
（一）根据商家商品的全部信息，不会误认为属于权利人或者其授权人生产的商品；
（二）进口商品来源国的权利人与持有相同商标的境内权利人不同的；
（三）商品使用的商标先于注册商标在中国使用的。",文件获取
哪些商品属于盗版商品？,盗版商品是指未经著作权人知识产权人许可复制其作品的图书、电子书、音像作品和软件等。,文件获取
京东是如何认定假冒、盗版商品的？,"（一）经司法、行政机关认定商家出售假冒、盗版商品的行为。如：各级人民法院通过判决等司法文书或市场监管、海关等行政机关通过行政文书等认定商家出售假冒、盗版商品；
（二）经权利人或其授权的代理人鉴定为假冒、盗版商品。如：京东抽检商家的商品，被权利人或其授权的代理人鉴定为假并出具鉴定报告。",文件获取
京东是如何发现商家“出售假冒商品”的？,京东发现的渠道包括但不限于采用京东抽检、行政部门通报、媒体报道、其他投诉反馈等。投诉反馈包括：权利人投诉、消费者投诉以及其他渠道投诉反馈等。,文件获取
对于商品相关资料留存的要求？,商家应保存在售商品和过往销售商品的相关授权资质和采购链路凭证，以备查验。,文件获取
商家因出售假冒商品被开具违约单后，可以提交哪些资料进行申诉？,"（一）商家可提供包含涉诉商品型号的可追溯至权利人/出版社/品牌方的合法进货凭证，包括但不限于购物发票、电子订单、采购合同、生产厂家订/出货单、报关单、与进货凭证相对应的付款流水单等；
（二）商家可提供包含涉诉商品型号的可追溯至权利人/出版社/品牌方的合法品牌授权，包括但不限于商标注册证、商标受理通知书、生产厂家委托/授权销售凭证、授权链体系凭证等。",文件获取
对于商家关联方的定义？,关联方是指存在关联关系的关联方，包括但不限于：以关联人士名义入驻的关联方；同一经营主体的关联方；不同经营主体但存在同一法人代表、投资关系等关系的关联方；或通过技术手段识别出由同一实际控制人经营的关联方。,文件获取
商家通过不正当的方式、非真实交易的方式进行虚假交易，常用的手段包括哪些？,"（一）自卖自买：指商家使用自有账号、自行注册新账号或操纵其他账号，冒充消费者身份购买自家所售商品，借此增加商家商品销量、评论数等的行为。例如：朋友、同学、家人等相互进行线上购买；商家公司内部人员非正常的相互购买；商家内部员工或商家自行注册多个马甲小号，非正常的购买自己发布的商品；
（二）第三方炒作：指商家利用第三方炒作团伙或通过与他人协议以不正当方式进行的炒作；利用第三方（包括其他卖家）提供的工具、服务或便利条件进行虚假交易；
（三）商品信息造假：指商家通过发布无实质交易内容、变更商品页面信息、搭配套餐方式、以不合理的规格进行件数拆分、设置异常大额优惠或大幅度修改商品价格等非真实交易的手段来提高商品销量等的行为；
（四）物流造假：指商家使用不真实的物流单号，通过使用虚假的或重复使用的物流单号、空包发货或不发货等虚假物流手段来进行虚假交易、提高商品销量等；
（五）同一用户（包括但不限于同一设备、同一IP等），在同一商家店铺内高频购买同一个/同一类商品，超出单一消费者合理消费需求或存在批量异常退款等非真实有效消费行为；
（六）商家使用其他非正常交易手段来提高商品销量、店铺评分、商品评论或成交金额等。",文件获取
