问题,答案,来源
商家恶意占库存，包括哪些情形？,"商家恶意占库存包括但不限于以下情形：
（1）商家涉嫌使用其账号、相关联账号、所控制账号或者雇佣他人进行占库存行为；
（2）通过一次性大量下单或多次下单累计商品数量较多，并通过不支付、取消订单、拒收或延迟收货等手段恶意占库存的行为。
附则：
商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
本规则于2025年8月22日修订，于2025年8月29日生效。",文件获取
资质/证据不合格包括哪些情形？,"商家资质不合格包括但不限于以下情形：
未按京东要求时间更新、提交符合京东要求的最新资质或信息的；
在风险调查中不提交材料或提交的材料不符合平台要求的；
商家向京东提供虚假资料或信息；
因商家行为引发行政机关调查或法律诉讼的，若商家存在提供的联系方式无效，或怠于处置、消极应对、拒不配合提交相关资料等情形；
商家未提交符合京东要求的商品信息，包括但不限于商品的标识标志信息（如产品名称、生产厂厂名、厂址、产品质量检验合格证明、生产日期和安全使用期等）。
未更新或变更证照信息。未更新店铺证照信息，指商家未在其营业执照信息或其店铺经营业务有关的行政许可信息变更完成之日起十个工作日内完成更新店铺证照信息的行为；未变更证照信息，指商家实际经营信息发生变化但未变更其营业执照信息及其店铺经营业务有关的行政许可信息登记事项的行为。",文件获取
什么是“风险调查”？“风险调查”过程中要求商家提供的资质有哪些？,京东将根据系统识别、媒体报道、用户投诉及商家举报等多维度对违规店铺进行判定，当识别到商家店铺疑似存在违规行为时，京东有权发起风险调查，要求商家提供以下材料，包括但不限于：包裹出库打包图片、包裹丢件证明、不可抗力等因素证明、仓储照片及合同证明、订单系统物流信息、法人辅助证明文件、运单承接方官方证明、进货凭证、快递公司合作证明、商标注册证/商标注册申请受理通知书、商品辅助证明、手持身份证照片、完税凭证、完整快递包裹面单、委托加工证明、消费者已签收的凭证、销售授权书、银行对账单、质检/检疫/检验报告等，如有特殊经营模式，商家应提供相关资质凭证及相关合作协议等。,文件获取
商家向京东提供虚假资料或信息中违规程度严重或极其严重是指什么？,"商家向平台京东提供虚假凭证致使消费者受到损失或者引发相关风险的；出现负面监管风险、舆情事件的或者提供虚假凭证致使平台受到损失或者引发相关风险的，都属于违规程度严重。违规程度严重包括但不限于如下情形：
招商入驻及经营过程中提供虚假资质证明：
（一）企业资质造假（如：企业营业资质造假、一般纳税人资质造假）；
（二）品牌资质造假（如：品牌授权书造假、品牌商标注册证造假）；
（三）特殊行业经营许可资质造假（如：食品经营许可证造假、图书经营许可证造假）；
（四）其他商品资质造假。
商家在“出售假冒商品”的申诉过程中，提供虚假凭证的；
商家在“不当使用他人权利”的申诉过程中，提供虚假凭证的。
商家出现两次及以上严重违规或产生严重损害消费者体验重大舆情的，属于违规程度极其严重。",文件获取
商家资质不具备特定行业资质的类目经营权，发布超范围经营的商品指什么？,国家明确有资质要求或平台有特定要求的行业，商家未取得行业经营许可（如商家无药品、食品、医疗器械商品、成人用品等的经营资质），且将商品错放在非对应类目的（比如，血压计挂在运动户外类目）。,文件获取
“未按京东要求时间更新、提交符合京东要求的最新资质”指的是什么？,包括但不限于市场监管信息中商家出现了经营异常的情况；商家实际经营信息发生变化但未变更其营业执照登记；商家在其营业执照信息变更完成后未在平台及时更新店铺营业执照信息；市场主体登记信息、与经营业务有关的行政许可信息发生变更而未在平台及时更新的行为等。因商家资质信息未及时、完整更新而造成商家不符合京东平台入驻、经营资质要求的，京东有权根据法律法规、协议、规则等对商家进行处理。,文件获取
商家伪造或提供与事实不符的申诉证据包括什么？,"伪造订单信息、交易快照或物流凭证等，包括不限于商家自己下单伪造用户订单，或者商家自行修改收货地址等伪造用户特殊标记等；
伪造聊天记录，包括不限于提供咚咚、电话等聊天记录非用户本人沟通记录；
提供虚假视频素材等，包括但不限于视频材料存在剪辑拼凑或者多个用户使用相同举证材料等非用户真实恶意行为依据。
其他误导平台、用户、其他第三方虚假信息等。
除上述情形外，其他商家不当使用工具，包括但不限于提供虚假问题描述或证明材料误导审核人员判断，造成负面监管、舆情影响时，都属于违规程度严重或者极其严重的伪造申诉证据。
附则：
商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
本规则于2025年3月21日修订，于2025年3月28日生效",文件获取
枪瞄可以发布吗？,枪械类瞄准镜是不允许在京东上发布的，其余有相同功能的单筒望远镜也不可以发布。,文件获取
Cosplay用的动漫刀可以发布么？,除了刀刃为金属材质的武士刀，其他的动漫刀还是可以发布的。,文件获取
少数民族刀可以发布么？,按照管制刀具的标准进行处理,文件获取
农用镰刀、割草刀、砍柴刀是否属于管制刀具？,农用镰刀、割草刀、砍柴刀属于农用刀具，参照管制刀具的标准进行处理。,文件获取
异形刀是否属于管制刀具范畴？,异形刀如符合国家管制刀具认定标准，也属于管制刀具范畴，如不符合国家管制刀具认定标准，则不属于管制刀具范畴；,文件获取
玩具用的弹弓可以发布吗？,若您的商品是绒毛、塑料等柔软材质制的弹弓玩具是可以发布的，带有助力构造等情况的高危弹弓和口袋弹弓请不要发布。需注意弹弓的商品描述中不要包含“射杀”等具有杀伤、暴力攻击的描述和暗示，同时请避免销售或者推荐提高弹弓杀伤力的搭配组合零件。,文件获取
警犬类服饰及胸背带可以发布吗？,不可以，警犬具有相应的执法权力，故警犬的服饰及胸背带也属于军警服饰范围。,文件获取
金属手铐、脚镣及拇指铐可以发布吗？,不可以，金属手铐、脚镣及拇指铐能够强制约束个人的人身自由，具有与军警用手铐相同的作用。,文件获取
电视棒可以出售吗？,不可以，其他电视卡类商品标题、描述、主图等商品信息中也不可以出现“电视棒”等描述。,文件获取
数字电视破解卡可以出售吗？,不可以，通过标题、图片或是描述中任一处可判定商品为利用非法手段免费收看数字电视的数字电视破解卡类商品，都不可以发布。,文件获取
入网是指什么？,入网是指用户办理固定电话装机、移机、过户，移动电话开户、过户等。,文件获取
IP卡属于禁售范围吗？,IP卡暂不属于禁售范围。,文件获取
什么是物联网卡？,"物联网卡是运营商为物流网服务企业提供的用于智能终端设备联网的，仅面对企业用户进行批量销售，广泛用于共享单车、移动支付、智能城市、自动售卖机等领域，不面向个人用户。
附则：
商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
本规则于2026年5月27日修订，于2026年6月3日生效。",文件获取
商家恶意占库存，包括哪些情形？,"商家恶意占库存包括但不限于以下情形：
（1）商家涉嫌使用其账号、相关联账号、所控制账号或者雇佣他人进行恶意下单不付款或使用后款方式支付的行为；
（2）一次大量下单或多次下单累积商品数量较多不付款或使用后款方式支付的行为；
（3）其他方式进行恶意下单不付款或使用后款方式支付占库存的行为。
（1）商家涉嫌使用其账号、相关联账号、所控制账号或者雇佣他人进行占库存行为；
（2）通过一次性大量下单或多次下单累计商品数量较多，并通过不支付、取消订单、拒收或延迟收货等手段恶意占库存的行为；",文件获取
黑客软件可以发布吗?,黑客软件对他人的个人隐私或计算机运行造成侵害，因此请不要发布。,文件获取
Cookies是什么？,"cookies中文名称为小型文本文件，指某些网站为了辨别用户身份而储存在用户本地终端（ClientSide）上的数据（通常经过加密）。
附则：
商家的行为，发生在本规则生效之日以前的，适用当时的规则。发生在本规则生效之日以后的，适用本规则。
京东可根据运营情况随时调整本规则并以公告的形式向商家公示。
商家应遵守国家法律、行政法规、部门规章等规范性文件。对任何涉嫌违反国家法律、行政法规、部门规章等规范性文件的行为，本规则已有约定的，适用于本规则。本规则尚无约定的，京东有权酌情处理。但京东对商家的处理不免除其应承担的法律责任。商家在京东的任何行为，应同时遵守与京东及其关联公司签订的各项协议；若商家服务协议约定的违约金金额高于规则约定的，京东有权适用协议约定。
本规则于2026年5月27日修订，于2026年6月3日生效。",文件获取
常见病原微生物有哪些？,"病毒类：危害程度分类第一类、第二类、第三类以及第四类的病毒，如狂犬病毒、SARS冠状病毒等；
细菌类：危害程度分类第二类、第三类的病菌，如霍乱弧菌、金黄色葡萄球菌等；
真菌类：危害程度分类第二类、第三类的病菌，如粗球孢子菌等。",文件获取
什么是物联网卡？,物联网卡是运营商为物流网服务企业提供的用于智能终端设备联网的，仅面对企业用户进行批量销售，广泛用于共享单车、移动支付、智能城市、自动售卖机等领域，不面向个人用户。,文件获取
